,Confidence,Group,Group1,Domain,Phylum,Class,Order,Genus,Species,Abun,frequency
Otu1514,0.999996047,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,,,0.00252058477566795,0.545454545454545
Otu53,0.99984675,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,,,0.0268862376071249,1
Otu5576,0.96320565,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,,,0.000672155940178121,0.272727272727273
Otu143,0.99991415,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,Glomeromycetes,Rhizophagus,,0.0100823391026718,0.727272727272727
Otu52,0.999993789,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,,,0.0191564442950765,0.909090909090909
Otu440,0.996651553,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Chytridiomycetes_X,Chytridiomycetes_X_sp.,0.000672155940178121,0.181818181818182
Otu9728,0.858569791,Eukaryota,Opisthokonta,Fungi,Mucoromycota,Mucoromycotina,Mucoromycotina_X,Mortierella,Mortierella_alpina,0.0220131070408335,0.909090909090909
Otu21,0.999990101,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,,,0.0729289195093262,1
Otu148,0.997778551,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,Glomeromycetes,Glomus,Glomus_macrocarpum,0.0337758359939506,0.727272727272727
Otu1308,0.999919532,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,,,0.00117627289531171,0.181818181818182
Otu409,0.99913742,Eukaryota,Opisthokonta,Fungi,,,,,,0.00067215594017812,0.181818181818182
Otu146,0.993829064,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Rhizoctonia,Rhizoctonia_solani,0.00688959838682574,0.818181818181818
Otu9266,0.948371651,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Chytridiomycetes_X,Chytridiomycetes_X_sp.,0.00050411695513359,0.272727272727273
Otu4782,0.729965389,Eukaryota,Opisthokonta,Fungi,,,,,,0.000672155940178121,0.272727272727273
Otu640,0.999952657,Eukaryota,Opisthokonta,Fungi,,,,,,0.000504116955133591,0.181818181818182
Otu34,0.999528197,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Trechispora,Trechispora_alnicola,0.0267181986220803,0.454545454545455
Otu385,0.722611024,Eukaryota,Opisthokonta,Fungi,Mucoromycota,Mucoromycotina,Mucoromycotina_X,Mortierella,Mortierella_globulifera,0.000504116955133591,0.181818181818182
Otu313,0.916127766,Eukaryota,Opisthokonta,Fungi,Fungi_X,Fungi_XX,Fungi_XXX,Mortierellaceae,Mortierellaceae_sp.,0.00184842883548983,0.454545454545455
Otu105,0.996144683,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,,,0.00252058477566796,0.545454545454545
Otu14969,0.774287146,Eukaryota,Opisthokonta,Fungi,Mucoromycota,Mucoromycotina,Mucoromycotina_X,Mortierella,,0.00924214417744917,0.363636363636364
Otu290,0.999656345,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Dothideomycetes,,,0.00100823391026718,0.272727272727273
Otu277,0.999999785,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,Glomeromycetes,Glomus,Glomus_indicum,0.00604940346160309,0.363636363636364
Otu118,0.78273022,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Spizellomycetales-and-Rhizophlyctidales,Spizellomycetales-and-Rhizophlyctidales_sp.,0.0169719374894976,0.727272727272727
Otu4757,0.999803134,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,,,0.000504116955133591,0.181818181818182
Otu180,0.999995176,Eukaryota,Opisthokonta,Fungi,,,,,,0.00067215594017812,0.363636363636364
Otu1169,0.998265703,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.,0.00100823391026718,0.363636363636364
Otu7789,0.760282607,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,Cryptococcus,Cryptococcus_aerius,0.00134431188035624,0.454545454545455
