,Confidence,Group,Domain,Phylum,Class,Order,Family,Genus,Species,Abun,frequency
Otu234,0.999917388,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,,,,0.00529733424470266,0.909090909090909
Otu411,0.999883114,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Sandonidae,Sandona,Sandona_sp.,0.000427204374572795,0.454545454545455
Otu47,0.906333004,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,,,0.0726247436773753,1
Otu2383,0.819536251,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Eocercomonas,,0.000170881749829118,0.181818181818182
Otu285,0.966892838,Eukaryota,Alveolata,Ciliophora,Heterotrichea,Heterotrichea_X,Blepharismidae,Blepharisma,Blepharisma_sp.,0.000341763499658236,0.272727272727273
Otu402,0.740060064,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Gregarinidae,Amoebogregarina,Amoebogregarina_sp.,0.000427204374572795,0.181818181818182
Otu1101,0.995537756,Eukaryota,Alveolata,Apicomplexa,Colpodellidea,Colpodellida,Colpodellaceae,Colpodellidae2,Colpodellidae2_sp.,8.54408749145591e-05,0.0909090909090909
Otu195,0.724830374,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Sandonidae,Sandonidae_X,Sandonidae_X_sp.,0.015123034859877,1
Otu13013,0.999875961,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,,,0.000256322624743677,0.181818181818182
Otu1019,0.890488913,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Euamoebida,Hartmannellidae,Copromyxa,Copromyxa_sp.,8.54408749145591e-05,0.0909090909090909
Otu433,0.999660222,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,,,,0.000170881749829118,0.0909090909090909
Otu11910,0.804175737,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,Oxytrichidae_X,Oxytrichidae_X_sp.,0.000427204374572795,0.272727272727273
Otu13759,0.841397045,Eukaryota,Alveolata,Ciliophora,Litostomatea,Litostomatea_X,Litostomatea_XX,,,8.54408749145591e-05,0.0909090909090909
Otu284,0.867466942,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,,,,0.00341763499658236,0.727272727272727
Otu3222,0.714469658,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Bodomorphidae,Bodomorpha,Bodomorpha_sp.,8.54408749145591e-05,0.0909090909090909
Otu1395,0.999636631,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Thaumatomonadidae,,,0.000256322624743677,0.181818181818182
Otu1605,0.906644214,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,Allapsidae_X,Allapsidae_X_sp.,0.00093984962406015,0.545454545454545
Otu569,0.941854666,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas,Cercomonas_plasmodialis,0.000598086124401914,0.363636363636364
Otu1682,0.932726901,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,,,0.000427204374572796,0.0909090909090909
Otu323,0.896313252,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas,Cercomonas_longicauda,0.00170881749829118,0.818181818181818
Otu136,0.856570703,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Colpoda,Colpoda_inflata,0.0251196172248804,1
Otu108,0.712666441,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,,,0.0175153793574846,1
