,Kingdom,Phylum,Class,Order,Family,Genus,Species,Kingdom.Confidence,Phylum.Confidence,Class.Confidence,Order.Confidence,Family.Confidence,Genus.Confidence,Abun,frequency
493564de8deafaaca9b2ed27d2b6920b,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,unclassified,unclassified,1,1,1,1,1,1,0.476049709025991,1
c0c154e05660037ec3b4a48f7b790364,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrocosmicus,unclassified,1,1,1,1,1,0.68,0.0586121351232292,1
646d5b9062b22a1e3a1ec1986a855f62,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,unclassified,unclassified,1,1,1,1,1,0.98,0.0604785421158795,1
3be82cf832cada69d2385e3ae4d148a9,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,unclassified,unclassified,1,1,1,1,1,0.99,0.0893672764369015,1
9d7af83a1e2fc91556d87b6865292a9a,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,unclassified,unclassified,1,1,1,1,1,1,0.0135285525492106,1
7cfc4db5e6907cc0ca798828dfa8bf51,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,unclassified,unclassified,unclassified,0.98,0.73,0.73,0.73,0.34,0.34,1.15925900164615e-05,0.0909090909090909
23a112a9a135efefb7832a8891209e74,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,unclassified,unclassified,1,1,1,1,1,0.99,0.124701490807076,1
30663607798226a8669ca7c6e3deb903,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera,unclassified,1,1,1,1,1,1,0.0477730634578378,1
7860130e7d02cabbef9dc43635bf2bf3,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,unclassified,unclassified,1,1,1,1,1,0.85,0.00594699867844474,1
692d7ee2bb2bddb29ea7c71a17e961a2,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosotaleales,Nitrosotaleaceae,Candidatus_Nitrosotalea,unclassified,1,1,0.99,0.82,0.82,0.73,1.15925900164615e-05,0.0909090909090909
03f210497c0c675e81fcbb852d4ce60e,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera,unclassified,1,1,1,1,1,1,0.00351255477498782,1
d5db5b89d3757cfb56bacc6bd406cae8,Archaea,Crenarchaeota,Nitrososphaeria,Group_1.1c,unclassified,unclassified,unclassified,1,1,1,0.95,0.95,0.95,0.00154181447218938,0.818181818181818
79d7fab84f7fc95646fe8f9bc52a4088,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus_Nitrososphaera,unclassified,1,1,1,1,1,0.95,0.00922770165310333,1
5da2d45b0bbd06a8f6fbbce9633fa374,Archaea,Thermoplasmatota,unclassified,unclassified,unclassified,unclassified,unclassified,1,0.86,0.46,0.46,0.46,0.46,0.00168092555238692,1
